omega,R,Vb,Vf,v1,v2
0.6,3,1.8,2.98023223876953e-08,11.7396243810369,11.7396243512346
0.7,3,2.1,1.0816653826392,12.2679926313037,11.1863272486645
0.8,3,2.4,1.58745078663875,12.506486820838,10.9190360341992
0.9,3,2.7,2.01246117974981,12.7026522759278,10.690191096178
1,3,3,2.4,12.8781325672373,10.4781325672373
1.1,3,3.3,2.76586333718787,13.0408165650049,10.2749532278171
1.2,3,3.6,3.11769145362398,13.1945141759372,10.0768227223132
1.3,3,3.9,3.45976877840124,13.3413563138951,9.88158753549386
1.4,3,4.2,3.79473319220206,13.4826495127142,9.6879163205121
1.5,3,4.5,4.12431812546026,13.6192469423808,9.49492881692052
1.6,3,4.8,4.4497190922574,13.7517316395445,9.3020125472871
1.7,3,5.1,4.77179211617606,13.8805156802403,9.10872356406424
1.8,3,5.4,5.09116882454314,14.0058976827702,8.9147288582271
1.9,3,5.7,5.40832691319598,14.1280979915106,8.71977107831457
2,3,6,5.72363520850167,14.247281154672,8.52364594617029
2.1,3,6.3,6.03738353924943,14.3635708019445,8.32618726269502
2.2,3,6.6,6.34980314655502,14.4770597856708,8.12725663911573
2.3,3,6.9,6.66108099335236,14.5878172658583,7.92673627250597
2.4,3,7.2,6.97137002317335,14.6958937633436,7.72452374017027
2.5,3,7.5,7.28079665970696,14.8013248262501,7.52052816654314
2.6,3,7.8,7.58946638440411,14.9041337276931,7.31466734328896
2.7,3,8.1,7.89746794865291,15.0043334722265,7.1068655235736
2.8,3,8.4,8.20487659870641,15.1019282992563,6.89705170054988
2.9,3,8.7,8.51175657546666,15.1969148134912,6.68515823802455
3,3,9,8.81816307401944,15.2892828337674,6.47111975974798
3.1,3,9.3,9.12414379544733,15.3790160252473,6.25487222979997
3.2,3,9.6,9.42974018730103,15.4660923617449,6.03635217444385
3.3,3,9.9,9.73498844375277,15.5504844520492,5.81549600829644
3.4,3,10.2,10.0399203184089,15.632159754857,5.59223943644809
3.5,3,10.5,10.34456378974,15.7110807001404,5.36651691040036
3.6,3,10.8,10.6489436095793,15.7872047296983,5.13826112011902
3.7,3,11.1,10.9530817581172,15.8604842657479,4.90740250763067
3.8,3,11.4,11.2569978235762,15.9308666133394,4.67386878976321
3.9,3,11.7,11.5607093207986,15.998293799872,4.43758447907339
4,3,12,11.8642319599711,16.0627023528451,4.19847039287401
4.1,3,12.3,12.1675798744039,16.1240230150726,3.95644314066868
4.2,3,12.6,12.4707658144959,16.1821803947797,3.7114145802838
4.3,3,12.9,12.7738013136263,16.2370925462114,3.46329123258517
4.4,3,13.2,13.076696830622,16.2886704745031,3.21197364388109
4.5,3,13.5,13.3794618725867,16.3368175565102,2.95735568392358
4.6,3,13.8,13.6821051011897,16.3814288669656,2.69932376577593
4.7,3,14.1,13.984634424968,16.4223903966098,2.43775597164177
4.8,3,14.4,14.2870570797488,16.4595781456874,2.17252106593858
4.9,3,14.7,14.5893796989454,16.4928570722388,1.90347737329337
5,3,15,14.891608375189,16.5220798697214,1.63047149453238
5.1,3,15.3,15.1937487145207,16.5470855423648,1.35333682784405
5.2,3,15.6,15.495805884174,16.5676977389044,1.07189185473047
5.3,3,15.9,15.7977846548179,16.5837227954128,0.7859381405949
5.4,3,16.2,16.0996894379985,16.5949474251092,0.495257987110731
5.5,3,16.5,16.401524319404,16.6011359762632,0.199611656859274
